,Asset Type,Description,Manufacturer,Model,Chemistry,Biology,Health Science Physiology,Math,Physics,Physical Earth Science,K-5,6-8,9-12,Models & Kits,Classroom Manipulative,Equipment,Classroom Technology,Tech.,Books & CD,Calculators
209,Functional Larynx Model,,3B,,,x,x,,,,,,,x,,,,,,
210,Functional Shouldr Joint Model,,3B,,,x,x,,,,,,,x,,,,,,
214,Genetic Inheritance Model Kit,,Carolina,,,x,,,,,,,,x,,,,,,
215,Geology Demostration Kit,,Hubbard,,,,,,,x,,,,x,,,,,,
216,Geometric Shape Kit (14 pc),ELEM,NASCO,,,,,x,,,,,,x,,,,,,
224,Giant Ear Model,,3B,,,x,x,,,,,,,x,,,,,,
225,Giant Earth Model,"With built in solar panel and didgital display. includes: globe, booklet, CD, flash light, base and chain, square reflector", ,,,,,,,x,,,,x,,,,,,
227,Giant Geosolids Kit,ELEM,ETA,LER3208,,,,x,,,,,,x,,,,,,
240,Half Head Model,,3B,,,x,x,,,,,,,x,,,,,,
244,Heart Model,,3B,,,x,x,,,,,,,x,,,,,,
252,Human Ear Model,"Cross section, soft foam", ,,,x,x,,,,,,,x,,,,,,
253,Human Eye Model,"Cross sectoin, soft foam", ,,,x,x,,,,,,,x,,,,,,
254,Human Mini Torso Model,, ,,,x,x,,,,,,,x,,,,,,
255,Human Model- Mini Torso,12 parts, ,,,x,x,,,,,,,x,,,,,,
257,Identifying Symbiosis Kit,,Carolina,,,x,,,,,,,,x,,,,,,
259,Insect Box,,Forestry Supplies,,,x,,,,,,,,x,,,,,,
261,Instant Learning Centers,Color Mixing,Lakeshore,,,,,,,,,,,x,,,,,,
262,Instant Learning Centers 2,Life Cycles,Lakeshore,,,,,,,,,,,x,,,,,,
263,Instant Learning Centers 3,Plants,Lakeshore,,,,,,,,,,,x,,,,,,
264,Instant Learning Centers 4,Nutrition,Lakeshore,,,,,,,,,,,x,,,,,,
265,Instant Learning Centers 5,My Body,Lakeshore,,,,,,,,,,,x,,,,,,
266,Instant Learning Centers 6,Weather & Seasons,Lakeshore,,,,,,,,,,,x,,,,,,
267,Instant Learning Centers 7,Magnets,Lakeshore,,,,,,,,,,,x,,,,,,
268,Instant Learning Centers 8,My Body,Lakeshore,,,,,,,,,,,x,,,,,,
270,Intro Kidney Model,,Ward's,,,x,x,,,,,,,x,,,,,,
271,Intro Organic/Micro Chem Kit,MASTERS,Carolina,,x,,,,,,,,,x,,,,,,
272,Investigating Cell Types Kit,,Carolina,,,x,,,,,,,,x,,,,,,
275,Jungle Robot Kits,, ,,,,,,x,,,,,x,,,,,,
277,Kidney Model,, ,,,x,x,,,,,,,x,,,,,,
291,Learn to Recycle Activity Kit,,Lakeshore,,,x,,,,,,,,x,,,,,,
301,Magnetic Fraction Circle Kit,ELEM,NASCO,75150,,,,x,,,,,,x,,,,,,
304,Male Genital Model,,Somso,,,x,x,,,,,,,x,,,,,,
305,Male Reproduct. Activity Model,,Hubbard,,,x,x,,,,,,,x,,,,,,
319,Medulla Model,,Somso,,,x,x,,,,,,,x,,,,,,
325,Model Kit: Alpha-helix MASTERS,,Molymod,,,x,,,,,,,,x,,,,,,
326,Model Kit: B-Pleated (MASTERS),B-Pleated Protein Sheet,Molymod,,,x,,,,,,,,x,,,,,,
327,Model Kit: FAT (MASTERS),FAT (Tripalmitin),Molymod,,,x,,,,,,,,x,,,,,,
328,Model Plus Atom,, ,,x,,,,,,,,,x,,,,,,
329,Molecular Model,, ,,,x,,,,,,,,x,,,,,,
330,Money Collection Kit,ELEM,NASCO,,,,,x,,,,,,x,,,,,,
332,Motor Neuron Model,,Denoyer Geppert,,,x,x,,,,,,,x,,,,,,
333,NaCl Lattice,,3D Molecular Designs,,x,,,,,,,,,x,,,,,,
334,Nasco Math Kits,,NASCO,,,,,x,,,,,,x,,,,,,
354,Parr Accessory Kit,,Parr,,,,,,,,,,,x,,,,,,
365,Plant Cell Model,, ,,,x,,,,,,,,x,,,,,,
367,Plate Tectonic Model,, ,,,,,,,x,,,,x,,,,,,
368,Plate Tectonics Model,, ,,,,,,,x,,,,x,,,,,,
378,Pro-Set Frog,preserved specimen display,NASCO,,,x,,,,,,,,x,,,,,,
379,ProScope HR Deluxe Kit,A USB handheld digital microscope designed for use with your computer.,Vernier Software & Technology,BD-DX,,,,,,,,,,x,,,,,,
380,ProScope Stand,Stand for ProScope HD,Vernier Software & Technology,BD-STAND,,,,,,,,,,x,,,,,,
386,"Reduce, Reuse, Recycle Act Kit",, ,,,x,,,,,,,,x,,,,,,
387,Reproduction/Chromosome Kit,,Carolina,,,x,,,,,,,,x,,,,,,
389,Resp. System Activity Model,,Hubbard,,,x,x,,,,,,,x,,,,,,
408,Sink Or Float Exploration Kit,,Lakeshore,,,,,,x,,,,,x,,,,,,
409,Skeleton with Stand,Stand and plasric chart set of 5, ,,,x,x,,,,,,,x,,,,,,
410,Skelton Dust Cover,, ,,,x,x,,,,,,,x,,,,,,
412,Skin Model,,3B,,,x,x,,,,,,,x,,,,,,
416,Smokers Lung Demonst. Kit,,BioQuest,,,,x,,,,,,,x,,,,,,
417,Solar Robot Kits,, ,,,,,,x,,,,,x,,,,,,
418,Solar System Model,,Hubbard,,,,,,,x,,,,x,,,,,,
437,steric Demostrator,"Magnetic line-of-Force. 2 display, 2 magnets, storage box", ,,,,,,,,,,,x,,,,,,
440,Strato Volcano Model,, ,,,,,,,x,,,,x,,,,,,
443,Super Classroom Base 10 Kit,ELEM,NASCO,,,,,x,,,,,,x,,,,,,
455,The Complete Weather Station,, ,,,,,,,x,,,,x,,,,,,
487,Trebuchet Kit,, ,,,,,,x,,,,,x,,,,,,
494,Vascular System Model,,Kyoto Kagaku,,,x,x,,,,,,,x,,,,,,
534,Water Cycle Moadel,,Hubbard,,,x,,,,x,,,,x,,,,,,
538,Weather Model,,Hubbard,,,,,,,x,,,,x,,,,,,
544,Wood Pattern Block Kit,ELEM,NASCO,ST2000,,,,x,,,,,,x,,,,,,
545,Wooden Geosolids Classroom Kit,ELEM,ETA,ETA76028,,,,x,,,,,,x,,,,,,
1,,ELEM Fraction Kit,WCA,,,,,,,,,,,,x,,,,,
8,3-D Magnetic Demonstation,Life Cycles, ,,,,,x,,,,,,,x,,,,,
16,5 Senses Discovery Center,,Lakeshore,,,,,,,x,,,,,x,,,,,
18,"7"" Geo Board Set",, ,,,,,x,,,,,,,x,,,,,
20,8x21mm Compact Binocular,Carson Tracker, ,,,x,,,,,,,,,x,,,,,
21,8x40mm Porro Prism Binocular,, ,,,x,,,,,,,,,x,,,,,
22,"9"" Geo Board Set",, ,,,,,x,,,,,,,x,,,,,
39,Animal Tracks,Peterson Field Guide Books, ,,,x,,,,,,,,,x,,,,,
56,Blank Clock Set,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
98,Centimeter Cube Set,ELEM,NASCO,,,,,x,x,,,,,,x,,,,,
99,Chain Links,ELEM,SI Manufacturing,,,,,x,x,,,,,,x,,,,,
103,Clip-Itz Lifecycle Card Set,, ,,,x,,,,,,,,,x,,,,,
104,Clock Sets,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
107,Color Spinners,ELEM,NASCO,,,,,,x,,,,,,x,,,,,
109,Conceptual Bingo Decimals,Six Calling Options, ,,,,,x,,,,,,,x,,,,,
110,Conceptual Bingo: Convert,Fraction-Decimal-Percent, ,,,,,x,,,,,,,x,,,,,
111,Conceptual Bingo: Fractions,, ,,,,,x,,,,,,,x,,,,,
114,Coordinate Grid Dry Erase Brd,ELEM,NASCO,TB20815,,,,x,,,,,,,x,,,,,
115,CPS Chalkboard,,einstruction.com,,,,,x,,,,,,,x,,,,,
120,CTR Flip Charts High Schl. Sci,Critical Thinking Reference Flip Charts - Illinois Learning Standards - High School Science,Mentoring Minds,,,,,,,,,,,,x,,,,,
121,CTR Flip Charts Mid. Schl. Sci,Critical Thinking Reference Flip Charts - Illinois Leaning Standards - Middle School Science,Mentoring Minds,,,,,,,,,,,,x,,,,,
140,Dice & Spinners,, ,,,,,x,,,,,,,x,,,,,
150,Dominoes,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
173,Enviorscape,non point source kit, ,,,x,,,,x,,,,,x,,,,,
174,EnviroScape Nonpoint Source,, ,,,x,,,,x,,,,,x,,,,,
176,Equivalence Pocket Charts,ELEM,SI Manufacturing,67895,,,,,,,,,,,x,,,,,
194,Foam Decimal Dice,ELEM,NASCO,TB23354T,,,,x,,,,,,,x,,,,,
195,Foam Fraction Dice,ELEM,NASCO,TB23353T,,,,x,,,,,,,x,,,,,
196,Foam Percentage Dice,ELEM,NASCO,TB23355T,,,,x,,,,,,,x,,,,,
197,Folding Geometric Shapes Kit,ELEM,ETA,LER0921,,,,x,,,,,,,x,,,,,
198,Fraction Bar Games,, ,,,,,xx,,,,,,,x,,,,,
199,Fraction Bar Starter Kit,ELEM,Scott Resources,,,,,x,,,,,,,x,,,,,
200,Fraction Bars,ELEM,Scott Resources,,,,,x,,,,,,,x,,,,,
202,Fraction Circles,ELEM,Scott Resources,,,,,x,,,,,,,x,,,,,
203,Fraction Dice,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
204,Fraction Kit,ELEM,NASCO,TB17098,,,,x,,,,,,,x,,,,,
205,Fraction Squares,ELEM,Scott Resources,,,,,x,,,,,,,x,,,,,
206,Fractions Hands-On-Kit,,Lakeshore,,,,,x,,,,,,,x,,,,,
211,Gallon Guy,Liquid measurment demostrator manipulative, ,,,,,x,x,,,,,,x,,,,,
217,Geometry and Spatial Sense,"Authentic Learning Activities in Middle School Mathematics ""Geometry and Spatial Sense""",Authentic Learning Activities - Middle School Math,,,,,x,,,,,,,x,,,,,
218,Geosafari Fossils Collection,, ,,,x,,,,x,,,,,x,,,,,
219,Geosafari Igneous Rock Collect,, ,,,,,,,x,,,,,x,,,,,
220,Geosafari Metamorphic Rock Col,, ,,,,,,,x,,,,,x,,,,,
221,Geosafari Mineral Collection,, ,,,,,,,x,,,,,x,,,,,
222,Geosafari Sedimentary Rock Col,, ,,,,,,,x,,,,,x,,,,,
223,GeoSafari Talking Globe,,Hubbard,,,,,,,x,,,,,x,,,,,
226,Giant Geo Solids,, ,,,,,,,x,,,,,x,,,,,
228,Giant Magnetic Pattern Blocks,92 pieces,Lakeshore,,,,,x,,,,,,,x,,,,,
229,Giant Magnetic Place Value,Blocks 121 pieces,Lakeshore,,,,,x,,,,,,,x,,,,,
230,Giant Magnetics Fraction,Circles & Bars 102 pieces,Lakeshore,,,,,x,,,,,,,x,,,,,
269,Interlocking Cube Sets,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
276,K'nex Kit Bin,, ,,,,,,x,,,,,,x,,,,,
278,Kinex Education,"Forces, Energy, and Motion", ,,,,,,x,,,,,,x,,,,,
279,Kinex Education 2,Life Cycle Of A Plant, ,,,,,,x,,,,,,x,,,,,
282,Koplow Games-Dice,, ,,,,,x,,,,,,,x,,,,,
300,Magnetic Fraction Circle,, ,,,,,x,,,,,,,x,,,,,
302,Magnifier Folding Double,, ,,,,,,,,,,,,x,,,,,
303,Magnifier Folding Triple,, ,,,,,,,,,,,,x,,,,,
312,Math Quiz Gameshow Grades 1-3,,Lakeshore,,,,,x,,,,,,,x,,,,,
313,Math Quiz Gameshow Grades 4-6,,Lakeshore,,,,,x,,,,,,,x,,,,,
314,MathMat Challenge Animal Homes,Talking Floormat-Sort & Match Science Games,Lakeshore,,,,,x,,,,,,,x,,,,,
341,Number and Operation,"Authentic Learning Activities in Middle School Mathematics ""Number and Operation""",Authentic Learning Activities - Middle School Math,,,,,x,,,,,,,x,,,,,
343,O/H Decimal Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
344,O/H Fraction Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
345,O/H Percent Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
348,Opaque Decimal Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
349,Opaque Fraction Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
350,Opaque Percent Tiles w/ Tray,ELEM,SI Manufacturing,,,,,x,,,,,,,x,,,,,
355,Pattern Blocks,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
358,Pet Tornado,, ,,,,,,,x,,,,,x,,,,,
362,Physical Science Charts,, ,,,,,,,x,,,,,x,,,,,
363,Physical Solar Work Shop,, ,,,,,,x,,,,,,x,,,,,
366,Plastic Colored Tile Sets,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
369,Playing Cards,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
371,Polyhedral Dice,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
381,Protractor Sets,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
383,Quizmo Fractions & Decimals,, ,,,,,x,,,,,,,x,,,,,
433,Standard Dice,ELEM,NASCO,,,,,x,,,,,,,x,,,,,
446,Synthesizing Macromolecules,,Carolina,,x,x,,,,,,,,,x,,,,,
448,Tangram Treasury Kit A,Grades 1-3, ,,,,,x,,,,,,,x,,,,,
449,Tangram Treasury Kit B,, ,,,,,x,,,,,,,x,,,,,
450,Tangram Treasury Kit C,Grades 1-3, ,,,,,x,,,,,,,x,,,,,
451,Tangrams Kit,ELEM,ETA,ETA317-28,,,,x,,,,,,,x,,,,,
482,Tool Boss-Bucket Boss Classic,, ,,,,,,x,,,,,,x,,,,,
536,Weather Center,, ,,,,,,,x,,,,,x,,,,,
546,World Ocean Floormat,, ,,,x,,,,x,,,,,x,,,,,
3,1 Liter Liquid Measurement Cup,ELEM,NASCO,,x,x,,,x,x,,,,,,x,,,,
4,1 Liter Measurement Set,ELEM,NASCO,,,,,x,x,,,,,,,x,,,,
5,10x50mm Porro Prism Binocular,, ,,,x,,,,,,,,,,x,,,,
7,16 M Microcentrifuge,,Labnet,,x,x,x,,x,,,,,,,x,,,,
9,300 V Power Supply,,Enduro,,x,,,,x,,,,,,,x,,,,
10,375 mL Liquid Measurement Cup,ELEM,NASCO,,x,x,,,x,x,,,,,,x,,,,
17,500 mL Liquid Measurement Cup,ELEM,NASCO,,x,x,,,x,x,,,,,,x,,,,
27,Acrylic Pipettor Stand 4 place,,MidSci,,x,x,,,,,,,,,,x,,,,
29,AlphaPette,100-1000 mL,MidSci,,x,x,,,,,,,,,,x,,,,
30,"AlphaPette, 0.1-2 mL",,MidSci,,x,x,,,,,,,,,,x,,,,
31,"AlphaPette, 0.5-10 mL",,MidSci,,x,x,,,,,,,,,,x,,,,
32,"AlphaPette, 10-100 mL",,MidSci,,x,x,,,,,,,,,,x,,,,
34,Ammonium Ion-Select. Electrode,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
35,Analytical Balance Electronic,with box accessories,Flinn Scientific,,x,x,,,,,,,,,,x,,,,
37,Aneroid Sphygmomanometer,with Black Nylon Cuff, ,,,,x,,,,,,,,,x,,,,
44,AstroScan Sunviewing Screen,For use with AstroScan Telescope,Ward's,,,,,,,x,,,,,,x,,,,
45,AstroScan Telescope,Edmund Scientific's,Ward's,,,,,,,x,,,,,,x,,,,
46,AstroScan Wide Field Telescope,with Tripod, ,,,,,,,x,,,,,,x,,,,
49,Balance,,Ohaus,,x,x,,,,,,,,,,x,,,,
50,Basic Electronics & Electricit,Basic Electronics & Electricity Kits, ,,,,,,x,,,,,,,x,,,,
52,Bio Chamber 250,A 250mL Nalgene bottle that can be used with the CO2 gas sensor and O2 gas sensor simultaneously.,Vernier Software & Technology,BC-250,,x,,,,,,,,,,x,,,,
53,Bio Quip Presses & Blotters,Bio Quip Drying Presses & Blotters & Corrugates, ,,,x,,,,,,,,,,x,,,,
55,Birdwatching Cone,Pack of 5, ,,,x,,,,,,,,,,x,,,,
59,Blood Pressure Sensor,An attachment for use with the Vernier LabQuest to measure systemic arterial blood pressure in humans (non-invasivley).,Vernier Software & Technology,BPS-BTA,,,x,,x,,,,,,,x,,,,
77,Bootfoot Wader,Women's 10 in STPH 100, ,,,x,,,,,,,,,,x,,,,
78,Borer 16 inch 3 Thread,, ,,,,,,,,,,,,,x,,,,
82,Bumper Launcher Kit,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
83,Bushnell Laser Rangefinder,sport 450, ,,,,,,,,,,,,,x,,,,
85,Cabela's Waders,Work Boots, ,,,x,,,,,,,,,,x,,,,
86,Calcium Ion-Select. Electrode,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
87,Calorimeter,An attachment to be used with the Vernier LabQuest to determine the concentration of a solution by analyzing its color intensity.,Vernier Software & Technology,COL-BTA,x,x,,,x,,,,,,,x,,,,
96,CBR 2 TI Sonic Motion Detector,,Texas Instruments,,,,,,x,,,,,,,x,,,,
102,Chloride Ion-Select. Electrode,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
106,CO2 Gas Sensor,Probe for use with the Vernier LabQuest that measures levels of gaseous carbon dioxide.,Vernier Software & Technology,CO2-BTA,x,,x,,x,,,,,,,x,,,,
108,Colorimeter,, ,,x,x,,,x,,,,,,,x,,,,
112,Conductivity Probe,A probe for use with the Vernier LabQuest to measure either solution conductivity or total ion concentration of aqueous samples.,Vernier Software & Technology,CON-BTA,x,x,,,x,,,,,,,x,,,,
113,Conversion Kit,ELEM,NASCO,TB18435,,,,,,,,,,,,x,,,,
119,CS-200 Portable Digital Scale,,Ohaus,,x,x,,,,,,,,,,x,,,,
123,Current Probe,A probe for use with the Vernier LabQuest for measuring currents in low voltage AC and DC circuits.,Vernier Software & Technology,DCP-BTA,x,x,,,x,,,,,,,x,,,,
129,DC Regulated Power Supply,,Extech,,,,,,x,,,,,,,x,,,,
138,"Densitometer, GRS",, ,,x,,,,x,,,,,,,x,,,,
139,Diameter Tape Metric,Metal Case, ,,,,,,x,,,,,,,x,,,,
141,Differential Voltage Probe,A probe to be used with Vernier LabQuest to measure voltages in low voltage AC and DC circuits.,Vernier Software & Technology,DVP-BTA,,,,,x,,,,,,,x,,,,
143,Digital Dissecting Microscope,,Lecia,E24D,,x,,,,,,,,,,x,,,,
144,Digital Radiation Monitor,,Vernier Software & Technology,,,,,,x,x,,,,,,x,,,,
145,Digital Timer 22188 Clsrm Prod,,Classroom Products,22188,x,x,x,x,x,x,,,,,,x,,,,
148,Dissolved Oxygen Probe,A probe for use with the Vernier LabQuest to measure the concentration of dissolved oxygen in water samples.,Vernier Software & Technology,DO-BTA,x,x,x,,x,,,,,,,x,,,,
151,Drop Counter,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
152,Dry Measuring Cup Set,ELEM,NASCO,,x,x,,,x,,,,,,,x,,,,
153,Dual-Range Force Sensor,An attachment to be used with the Vernier LabQuest to measure pushing and pulling forces.,Vernier Software & Technology,DFS-BTA,,,,,x,,,,,,,x,,,,
155,Dynamics System Carts & Acces.,Vernier Dynamics System Carts and Accessories,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
156,Dynamics System Carts and Acc.,Box 2/2,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
157,Dynamics System-Tracks,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
162,EKG Sensor,An attachment for use with the Vernier LabQuest to measure cardiac electrical potential waveforms.,Vernier Software & Technology,EKG-BTA,,,x,,x,,,,,,,x,,,,
163,Electrode Support,,Vernier Software & Technology,,,,x,,x,,,,,,,x,,,,
164,Electromagnetism Bin,, ,,,,,,x,,,,,,,x,,,,
165,Electronic Snap Circuits,, ,,,,,,x,,,,,,,x,,,,
166,Elementary Cordless Microscope,"4x Obj. Monocular, FSE Prism Scope", ,,,x,,,,,,,,,,x,,,,
177,Erupting Cross Section Volcano,Model,Learning Resources,,,,,,,x,,,,,,x,,,,
182,Extech DC Regulated Power Sup.,Extech DC Regulated Power Supply,Extech,,,,,,x,,,,,,,x,,,,
183,Extra-Long Temperature Probe,,Vernier Software & Technology,,x,x,,,x,x,,,,,,x,,,,
188,Fleco Pruning Shears,, ,,,x,,,,,,,,,,x,,,,
189,Flex Plastic Vertebral Column,,3B,,x,,,,,,,,,,,x,,,,
190,Flinn Balance,,Flinn Scientific,0B2091/0B2092,x,x,,,x,,,,,,,x,,,,
193,Flow Rate Sensor,"An attachment for use with the Vernier LabQuest to measure the velocty of water in a river, stream, or canal.",Vernier Software & Technology,FLO-BTA,x,x,x,,x,,,,,,,x,,,,
212,Gallon Measurement Set,5 Piece, ,,,,,x,,,,,,,,x,,,,
213,Gas Pressure Sensor,An attachment for use with the Vernier LabQuest to monitor pressure changes.,Vernier Software & Technology,GPS-BTA,x,,,,x,,,,,,,x,,,,
232,GO! Link,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
233,GO! Link Teacher Pack,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
234,GO! Motion Detector,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
235,GO! Motion Teacher Pack,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
236,GO! Temp Teacher Pack,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
237,Got It! Interactive Student,"Wireless Response System-1 teachers model, 24 students", ,,,,,,,,,,,,,x,,,,
238,GPS Sensor,,Vernier Software & Technology,,,,,,,x,,,,,,x,,,,
241,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Vernier Software & Technology,HD-BTA,,,x,,x,,,,,,,x,,,,
243,Hand-Grip Heart Rate Monitor,An attachment for use with the Vernier LabQuest to measure a person's heart rate by registering the small electrical signals carried across a person's skin each time the heat contracts.,Vernier Software & Technology,HGH-BTA,,,x,,x,,,,,,,x,,,,
245,Hot Plate,,Corning,,x,x,,,,,,,,,,x,,,,
258,Imaging Hoods,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
283,Lab Quest Charging Station,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
284,Lab Quest Stand,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
285,Lab Quest Unit,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
286,LabQuest Interface,LabQuest interface unit used for obtaining and analyzing data alongside Vernier probes.,Vernier Software & Technology,LABQ,,,,,,,,,,,,x,,,,
289,Large Blood Pressure Cuff,,Vernier Software & Technology,,,,x,,,,,,,,,x,,,,
295,Light Sensor,An attachment for use with the Vernier LabQuest to measure light intensity in a variety of situations.,Vernier Software & Technology,LS-BTA,x,,,,x,,,,,,,x,,,,
296,Liquid Measuring Cup Set,ELEM,NASCO,,x,x,,x,x,x,,,,,,x,,,,
297,Liter Liquid Measurement,ELEM,NASCO,,x,x,,x,x,x,,,,,,x,,,,
298,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Vernier Software & Technology,LGA-BTA,,,,,x,,,,,,,x,,,,
299,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Vernier Software & Technology,MG-BTA,,,,,x,x,,,,,,x,,,,
315,Measurement,"Authentic Learning Activities in Middle School Mathematics ""Measurement""",Authentic Learning Activities - Middle School Math,,,,,,,,,,,,,x,,,,
316,Measuring Spoon Set,ELEM,NASCO,,x,x,,x,x,x,,,,,,x,,,,
317,Measuring Tape,ELEM,NASCO,,x,x,,x,x,x,,,,,,x,,,,
318,Medium Black Scoops,Scoops to go with Scout Pro Scales,Ohaus,,x,x,,x,x,x,,,,,,x,,,,
320,Metersticks (Pack of 10),ELEM,NASCO,,x,x,,x,x,x,,,,,,x,,,,
322,Microphone Probe,An attachment for the Vernier LabQuest.,Vernier Software & Technology,MCA-BTA,,,,,x,,,,,,,x,,,,
323,Mini Gas Chromatograph,,Vernier Software & Technology,,x,,,,x,,,,,,,x,,,,
